route,log10_N,effective_cutoff_logN_slope
theorem,20,0.033418857890913894
reconstructed,20,0.07589310799931435
theorem,40,0.03794655399965718
reconstructed,40,0.08418367905385742
theorem,80,0.04209183952692871
reconstructed,80,0.09021040205402882
theorem,120,0.0439941794385538
reconstructed,120,0.09273988778995387
theorem,160,0.04510520102701441
reconstructed,160,0.09416448229056447
theorem,200,0.045841885789091395
reconstructed,200,0.09508931079993145
