n,student_coefficient_a,teacher_risk,student_risk,student_minus_teacher
256,0.03089485369696951322478641337274335490301125429585548616646621982846767858863887,0.44100605089544937629634695920666106013884200561366469429035391954977566750996315,0.49812196924442569487126512266864417910936794258058330476785087059769466552393690,0.05711591834897631857491816346198311897052593696691861047749695104791899801397375
1024,0.09702681633297141374225866106615304805118694010848805555438815783638619115251940,0.44100605089544937629634695920666106013884200561366469429035391954977566750996315,0.49411382895682866893218740297048192450050789430275615286004418596929926640251886,0.05310777806137929263584044376382086436166588868909145856969026641952359889255571
4096,0.28897309635926170045652612680652981828673794001341497432699987132399255630375620,0.44100605089544937629634695920666106013884200561366469429035391954977566750996315,0.48257200344830104322202818581080649094238373646899309095439637559626056415269216,0.04156595255285166692568122660414543080354173085532839666404245604648489664272901
16384,0.68969220022669082410824323436068707290025495821287100708728390864920587562635766,0.44100605089544937629634695920666106013884200561366469429035391954977566750996315,0.45891617592634400712549454194853636987197264063338501736720761449319629538870241,0.01791012503089463082914758274187530973313063501972032307685369494342062787873926
65536,0.98336290177595344741991926504843180035293240041902807130093050624979005715189841,0.44100605089544937629634695920666106013884200561366469429035391954977566750996315,0.44195725515686478658545381179137893311536247773937832984527554200560725834908594,0.00095120426141541028910685258471787297652047212571363555492162245583159083912279
1048576,0.99999999999999999999998314101159659956232090353970129497826589871310351532897548,0.44100605089544937629634695920666106013884200561366469429035391954977566750996315,0.44100605089544937629634792257800915007012578975943275834858957535706023588543567,9.6337134808993128378414576806405823565580728456837547252E-25
